[EMBEDDING][INFO]: Loading model all-MiniLM-L6-v2...
[EMBEDDING][INFO]: Embedding column 'title'...
[EMBEDDING][INFO]: Embedding column 'tags'...
[EMBEDDING][INFO]: Embedding column 'description'...
Preprocessing complete. Final shape: (1000, 1181)
         2362319229 function calls (2358581797 primitive calls) in 1044.928 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    69803    0.007    0.000    0.007    0.000 {method 'strip' of 'str' objects}
    31116    0.007    0.000    0.007    0.000 {method 'replace' of 'str' objects}
    24580    0.007    0.000    0.008    0.000 inspect.py:277(isfunction)
     3604    0.007    0.000    0.034    0.000 inspect.py:813(getsourcefile)
      189    0.007    0.000    0.019    0.000 enum.py:180(__new__)
     1154    0.007    0.000    0.061    0.000 blocks.py:749(astype)
     1833    0.006    0.000    0.010    0.000 posixpath.py:150(dirname)
     7948    0.006    0.000    0.036    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
     2326    0.006    0.000    0.006    0.000 {built-in method numpy.arange}
     1674    0.006    0.000    0.015    0.000 inspect.py:1959(_signature_bound_method)
     2196    0.006    0.000    0.051    0.000 _ops.py:1089(__getattr__)
     1170    0.006    0.000    0.451    0.000 frame.py:4519(_set_item)
    12264    0.006    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
    18094    0.006    0.000    0.044    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
    31120    0.006    0.000    0.009    0.000 sre_parse.py:165(__getitem__)
    48199    0.006    0.000    0.008    0.000 import_utils.py:2607(<genexpr>)
      153    0.006    0.000    0.011    0.000 inspect.py:744(cleandoc)
     3523    0.006    0.000    0.016    0.000 {built-in method builtins.sum}
    18925    0.006    0.000    0.012    0.000 {built-in method builtins.max}
     1164    0.006    0.000    0.165    0.000 frame.py:4475(_iset_item_mgr)
     6338    0.006    0.000    0.019    0.000 typing.py:1194(__getitem__)
     1717    0.006    0.000    0.068    0.000 typing.py:483(Union)
8645/8644    0.006    0.000    0.006    0.000 {method 'format' of 'str' objects}
     7938    0.006    0.000    0.007    0.000 inspect.py:1712(_shadowed_dict)
     1155    0.006    0.000    0.007    0.000 cast.py:774(infer_dtype_from_scalar)
        5    0.006    0.001    0.006    0.001 concat.py:494(_clean_keys_and_objs)
     1184    0.006    0.000    0.268    0.000 managers.py:287(get_dtypes)
       21    0.006    0.000    0.006    0.000 decoder.py:343(raw_decode)
    15701    0.006    0.000    0.009    0.000 conflict.py:7(supercedes)
     1289    0.006    0.000    0.014    0.000 backends.py:658(__new__)
4310/4298    0.006    0.000    0.440    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
    12089    0.006    0.000    0.024    0.000 genericpath.py:39(isdir)
     1695    0.006    0.000    0.044    0.000 textwrap.py:422(dedent)
    10551    0.006    0.000    0.011    0.000 posixpath.py:60(isabs)
      297    0.006    0.000    0.006    0.000 {method 'readlines' of '_io._IOBase' objects}
    31145    0.006    0.000    0.006    0.000 {method 'rpartition' of 'str' objects}
      201    0.006    0.000    0.008    0.000 {built-in method _abc._abc_register}
     4088    0.005    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
     2884    0.005    0.000    0.008    0.000 inspect.py:66(get_annotations)
     1152    0.005    0.000    0.985    0.001 indexing.py:1946(_setitem_with_indexer_split_path)
     2365    0.005    0.000    0.014    0.000 base.py:82(shape)
        1    0.005    0.005    0.047    0.047 _meta_registrations.py:7287(activate_meta)
     4475    0.005    0.000    0.005    0.000 {built-in method torch._C._get_schema}
10232/4300    0.005    0.000    0.006    0.000 module.py:2787(named_modules)
     1170    0.005    0.000    0.182    0.000 frame.py:4486(_set_item_mgr)
      474    0.005    0.000    0.005    0.000 {built-in method builtins.compile}
     9605    0.005    0.000    0.005    0.000 {method 'expandtabs' of 'str' objects}
     7483    0.005    0.000    0.046    0.000 posixpath.py:377(abspath)
49293/48599    0.005    0.000    0.005    0.000 {built-in method builtins.hash}
